"subject" "session" "item" "cond" "amplitude_prestim" "amplitude_n400" "amplitude_p600" "roi" "sem" "syn"
"86" 2 "s2" 98 245 -3.08826732673267 -2.4546798679868 6.42215121412804 "centro-parietal" -0.5 0.5
"87" 2 "s2" 99 255 2.94489521452145 -1.69141171617162 -2.44299061810155 "centro-parietal" 0.5 0.5
"88" 2 "s2" 100 225 -3.374050330033 0.35898102310231 -0.506049116997793 "centro-parietal" -0.5 -0.5
"89" 2 "s2" 101 235 -11.4244471947195 6.96895709570957 7.22352373068432 "centro-parietal" 0.5 -0.5
"90" 2 "s2" 102 245 -2.56136716171617 1.79206188118812 7.19696247240618 "centro-parietal" -0.5 0.5
"91" 2 "s2" 103 255 0.240027227722772 -3.30847607260726 5.54723841059603 "centro-parietal" 0.5 0.5
"92" 2 "s2" 104 225 -5.30032755775577 5.68799339933993 4.40671909492274 "centro-parietal" -0.5 -0.5
"93" 2 "s2" 105 235 -3.86557920792079 -5.36564438943895 0.267556291390728 "centro-parietal" 0.5 -0.5
"94" 2 "s2" 106 245 -2.89353795379538 3.63340676567657 -6.33460982339956 "centro-parietal" -0.5 0.5
"95" 2 "s2" 107 255 4.67859570957096 0.371650165016502 1.54753476821192 "centro-parietal" 0.5 0.5
"96" 2 "s2" 108 225 3.9310899339934 1.06058663366337 3.40240121412804 "centro-parietal" -0.5 -0.5
"97" 2 "s2" 109 235 -7.26537211221122 4.21531188118812 3.98788631346578 "centro-parietal" 0.5 -0.5
"98" 2 "s2" 110 245 0.207767326732674 0.535023927392739 4.62949116997792 "centro-parietal" -0.5 0.5
"99" 2 "s2" 111 255 -4.29757838283828 2.52535726072607 5.24187251655629 "centro-parietal" 0.5 0.5
"100" 2 "s2" 112 225 -6.90178712871287 4.16157838283828 8.25313300220751 "centro-parietal" -0.5 -0.5
"101" 2 "s2" 113 235 -7.18081518151815 3.28983745874587 1.70900496688742 "centro-parietal" 0.5 -0.5
"102" 2 "s2" 114 245 -5.47121617161716 5.82947277227723 -1.84998233995585 "centro-parietal" -0.5 0.5
"103" 2 "s2" 115 255 -6.27007508250825 1.27295214521452 7.07615562913907 "centro-parietal" 0.5 0.5
"104" 2 "s2" 116 225 -0.638552805280528 -1.79077227722772 5.3534238410596 "centro-parietal" -0.5 -0.5
"105" 2 "s2" 117 235 -0.583303630363034 10.9035140264026 5.7394536423841 "centro-parietal" 0.5 -0.5
"106" 2 "s2" 118 245 -3.68952475247525 3.28149174917492 4.63775220750552 "centro-parietal" -0.5 0.5
"107" 2 "s2" 119 255 -3.82762541254125 -1.72826567656766 10.7007549668874 "centro-parietal" 0.5 0.5
"108" 2 "s2" 120 225 1.01819471947195 -2.14444471947195 0.317870309050772 "centro-parietal" -0.5 -0.5
"109" 4 "s1" 1 255 3.0992896039604 -4.20236056105611 -5.95114238410596 "centro-parietal" 0.5 0.5
"110" 4 "s1" 2 225 -1.17279455445545 -9.56249752475247 0.218890176600442 "centro-parietal" -0.5 -0.5
"111" 4 "s1" 3 235 0.0531831683168321 -5.66768646864686 4.26621909492274 "centro-parietal" 0.5 -0.5
"112" 4 "s1" 4 245 4.90308250825083 7.3564191419142 0.088637417218544 "centro-parietal" -0.5 0.5
"113" 4 "s1" 5 255 2.3840602310231 -1.44680115511551 -1.34025993377483 "centro-parietal" 0.5 0.5
"114" 4 "s1" 6 225 4.72815841584158 1.17565924092409 6.8986738410596 "centro-parietal" -0.5 -0.5
"115" 4 "s1" 7 235 -2.42246287128713 1.0700198019802 5.0953178807947 "centro-parietal" 0.5 -0.5
"116" 4 "s1" 8 245 1.2394603960396 1.4073704620462 3.28912693156733 "centro-parietal" -0.5 0.5
"117" 4 "s1" 9 255 -5.74748349834983 10.6638358085808 0.917740066225166 "centro-parietal" 0.5 0.5
"118" 4 "s1" 10 225 3.1065 -6.88887788778878 -1.70436258278146 "centro-parietal" -0.5 -0.5
