"subj" "item" "rt" "dist" "distance" "pred" "predability"
"10475" 10 31 254 1 "long" 1 "unpredictable"
"10500" 10 17 266 1 "long" -1 "predictable"
"10539" 10 18 372 -1 "short" 1 "unpredictable"
"10582" 10 27 308 1 "long" 1 "unpredictable"
"10606" 10 28 359 -1 "short" -1 "predictable"
"10629" 10 24 265 -1 "short" -1 "predictable"
"10664" 10 22 261 -1 "short" 1 "unpredictable"
"10693" 10 19 310 1 "long" 1 "unpredictable"
"10719" 10 8 289 -1 "short" -1 "predictable"
"10836" 10 21 327 1 "long" -1 "predictable"
"10868" 10 16 327 -1 "short" -1 "predictable"
"10911" 10 6 319 -1 "short" 1 "unpredictable"
"11029" 11 34 1710 1 "long" 1 "unpredictable"
"11095" 11 11 706 -1 "short" -1 "predictable"
"11118" 11 1 521 -1 "short" 1 "unpredictable"
"11147" 11 25 694 -1 "short" 1 "unpredictable"
"11171" 11 36 893 1 "long" -1 "predictable"
"11217" 11 17 689 -1 "short" 1 "unpredictable"
"11279" 11 35 554 -1 "short" -1 "predictable"
"11310" 11 18 531 1 "long" 1 "unpredictable"
"11343" 11 20 534 1 "long" -1 "predictable"
"11375" 11 33 595 -1 "short" 1 "unpredictable"
"11408" 11 16 572 1 "long" -1 "predictable"
"11471" 11 31 527 -1 "short" -1 "predictable"
"11513" 11 10 518 1 "long" 1 "unpredictable"
"11550" 11 30 584 1 "long" 1 "unpredictable"
"11647" 11 29 639 -1 "short" 1 "unpredictable"
"11698" 11 12 535 1 "long" -1 "predictable"
"11731" 11 4 567 1 "long" -1 "predictable"
"11764" 11 28 544 1 "long" -1 "predictable"
"11850" 11 9 543 -1 "short" 1 "unpredictable"
"11915" 11 13 534 -1 "short" 1 "unpredictable"
"11938" 11 14 768 1 "long" 1 "unpredictable"
"11962" 11 2 678 1 "long" 1 "unpredictable"
"12014" 11 26 483 1 "long" 1 "unpredictable"
"12049" 11 24 483 1 "long" -1 "predictable"
"12092" 11 3 611 -1 "short" -1 "predictable"
"12123" 11 21 477 -1 "short" 1 "unpredictable"
"12144" 11 23 506 -1 "short" -1 "predictable"
"12180" 11 27 478 -1 "short" -1 "predictable"
"12226" 11 8 551 1 "long" -1 "predictable"
"12259" 11 5 556 -1 "short" 1 "unpredictable"
"12293" 11 7 443 -1 "short" -1 "predictable"
"12355" 11 32 470 1 "long" -1 "predictable"
"12387" 11 19 522 -1 "short" -1 "predictable"
"12421" 11 6 589 1 "long" 1 "unpredictable"
"12445" 11 15 453 -1 "short" -1 "predictable"
"12485" 11 22 690 1 "long" 1 "unpredictable"
"12568" 12 27 554 1 "long" -1 "predictable"
"12591" 12 1 1029 1 "long" 1 "unpredictable"
"12619" 12 14 1100 -1 "short" -1 "predictable"
"12710" 12 18 474 -1 "short" -1 "predictable"
"12797" 12 32 464 -1 "short" 1 "unpredictable"
"12827" 12 22 428 -1 "short" -1 "predictable"
"12890" 12 4 554 -1 "short" 1 "unpredictable"
"12938" 12 36 359 -1 "short" 1 "unpredictable"
"12976" 12 30 582 -1 "short" -1 "predictable"
"13000" 12 8 2733 -1 "short" 1 "unpredictable"
"13037" 12 3 458 1 "long" -1 "predictable"
"13068" 12 10 722 -1 "short" -1 "predictable"
"13131" 12 19 569 1 "long" -1 "predictable"
"13154" 12 29 504 1 "long" 1 "unpredictable"
"13175" 12 12 452 -1 "short" 1 "unpredictable"
"13228" 12 21 552 1 "long" 1 "unpredictable"
"13253" 12 15 378 1 "long" -1 "predictable"
"13313" 12 11 4532 1 "long" -1 "predictable"
"13338" 12 5 1039 1 "long" 1 "unpredictable"
"13369" 12 17 376 1 "long" 1 "unpredictable"
"13395" 12 13 1356 1 "long" 1 "unpredictable"
"13414" 12 2 400 -1 "short" -1 "predictable"
"13458" 12 9 396 1 "long" 1 "unpredictable"
"13494" 12 33 2493 1 "long" 1 "unpredictable"
"13572" 12 31 2138 1 "long" -1 "predictable"
"13616" 12 26 430 -1 "short" -1 "predictable"
"13708" 12 16 491 -1 "short" 1 "unpredictable"
"13798" 12 34 2917 -1 "short" -1 "predictable"
"13819" 12 24 410 -1 "short" 1 "unpredictable"
"13849" 12 20 495 -1 "short" 1 "unpredictable"
"13874" 12 25 337 1 "long" 1 "unpredictable"
"13902" 12 7 752 1 "long" -1 "predictable"
"13983" 12 28 370 -1 "short" 1 "unpredictable"
"14004" 12 6 1233 -1 "short" -1 "predictable"
"14026" 12 35 341 1 "long" -1 "predictable"
"14054" 12 23 315 1 "long" -1 "predictable"
"14133" 13 20 386 1 "long" 1 "unpredictable"
"14181" 13 28 422 1 "long" 1 "unpredictable"
"14228" 13 11 508 -1 "short" 1 "unpredictable"
"14248" 13 35 547 -1 "short" 1 "unpredictable"
"14298" 13 13 351 -1 "short" -1 "predictable"
"14338" 13 22 493 1 "long" -1 "predictable"
"14375" 13 6 507 1 "long" -1 "predictable"
"14395" 13 25 390 -1 "short" -1 "predictable"
"14433" 13 4 875 1 "long" 1 "unpredictable"
"14456" 13 16 438 1 "long" 1 "unpredictable"
"14543" 13 14 372 1 "long" -1 "predictable"
"14580" 13 32 953 1 "long" 1 "unpredictable"
"14629" 13 19 416 -1 "short" 1 "unpredictable"
"14694" 13 15 431 -1 "short" 1 "unpredictable"
"14723" 13 18 388 1 "long" -1 "predictable"
"14764" 13 5 600 -1 "short" -1 "predictable"
"14845" 13 8 342 1 "long" 1 "unpredictable"
"14867" 13 17 362 -1 "short" -1 "predictable"
"14920" 13 3 366 -1 "short" 1 "unpredictable"
"14952" 13 2 398 1 "long" -1 "predictable"
"14983" 13 36 494 1 "long" 1 "unpredictable"
"15014" 13 9 697 -1 "short" -1 "predictable"
"15044" 13 10 346 1 "long" -1 "predictable"
"15076" 13 33 423 -1 "short" -1 "predictable"
"15111" 13 31 394 -1 "short" 1 "unpredictable"
"15141" 13 23 420 -1 "short" 1 "unpredictable"
"15182" 13 26 351 1 "long" -1 "predictable"
